date,time,count,bin,Location (recode),Location-id (recode)
27,19:03:51,13,115,SIS B1 IS Lounge,SISB1
27,19:05:56,9,115,SIS B1 IS Lounge,SISB1
27,19:08:01,9,115,SIS B1 IS Lounge,SISB1
27,19:08:02,2,115,SIS B1 IS Lounge,SISB1
27,19:10:06,11,116,SIS B1 IS Lounge,SISB1
27,19:12:11,10,116,SIS B1 IS Lounge,SISB1
27,19:14:17,3,116,SIS B1 IS Lounge,SISB1
27,19:16:21,8,116,SIS B1 IS Lounge,SISB1
27,19:18:25,11,116,SIS B1 IS Lounge,SISB1
27,19:20:29,1,117,SIS B1 IS Lounge,SISB1
27,19:20:30,7,117,SIS B1 IS Lounge,SISB1
27,19:22:34,2,117,SIS B1 IS Lounge,SISB1
27,19:22:35,5,117,SIS B1 IS Lounge,SISB1
27,19:24:39,9,117,SIS B1 IS Lounge,SISB1
27,19:26:44,10,117,SIS B1 IS Lounge,SISB1
27,19:28:48,3,117,SIS B1 IS Lounge,SISB1
27,19:30:53,3,118,SIS B1 IS Lounge,SISB1
27,19:32:57,4,118,SIS B1 IS Lounge,SISB1
27,19:35:01,1,118,SIS B1 IS Lounge,SISB1
27,19:35:02,4,118,SIS B1 IS Lounge,SISB1
27,19:37:06,2,118,SIS B1 IS Lounge,SISB1
27,19:39:11,6,118,SIS B1 IS Lounge,SISB1
27,19:41:16,9,119,SIS B1 IS Lounge,SISB1
27,19:43:20,6,119,SIS B1 IS Lounge,SISB1
27,19:45:25,8,119,SIS B1 IS Lounge,SISB1
27,19:47:30,6,119,SIS B1 IS Lounge,SISB1
27,19:49:34,1,119,SIS B1 IS Lounge,SISB1
27,19:49:35,4,119,SIS B1 IS Lounge,SISB1
27,19:51:39,1,120,SIS B1 IS Lounge,SISB1
27,19:51:40,3,120,SIS B1 IS Lounge,SISB1
27,19:53:44,5,120,SIS B1 IS Lounge,SISB1
27,19:55:49,4,120,SIS B1 IS Lounge,SISB1
27,19:57:53,2,120,SIS B1 IS Lounge,SISB1
27,19:59:59,2,120,SIS B1 IS Lounge,SISB1
27,20:02:03,2,121,SIS B1 IS Lounge,SISB1
27,20:04:08,2,121,SIS B1 IS Lounge,SISB1
27,20:06:12,2,121,SIS B1 IS Lounge,SISB1
27,20:06:13,2,121,SIS B1 IS Lounge,SISB1
27,20:08:18,3,121,SIS B1 IS Lounge,SISB1
27,20:10:22,4,122,SIS B1 IS Lounge,SISB1
27,20:12:27,4,122,SIS B1 IS Lounge,SISB1
27,20:14:32,4,122,SIS B1 IS Lounge,SISB1
27,20:16:37,6,122,SIS B1 IS Lounge,SISB1
